phrasal	meaning	significado	phrase	frase
call out		criticar alguém ou pedir-lhes para explicar suas ações	If he did anything wrong, I'd be the first to call him out on it.	Se ele fizesse algo de errado, eu seria o primeiro a chamá-lo para dar explicações.
call out		uma ocasião em que alguém é convidado a ir à casa de uma pessoa ou a um lugar específico para fazer um trabalho, ajudar alguém, etc	Many plumbers charge double for an emergency call-out over the weekend.	Muitos encanadores cobram o dobro por uma chamada de emergência no fim de semana.
call out		um pequeno texto, às vezes impresso em uma caixa, que fornece informações sobre parte de um desenho impresso, fotografia, documento, etc.	Publishers use call-outs to give emphasis to an important fact or quote.	Os editores usam quadrados para dar ênfase a um fato ou citação importante.
call out		pedir para alguém vir		
call up		telefonar	I have a list of people to call up in the morning	
call up		ordenar que alguém se junte às forças armadas ou comece a participar de uma operação militar	He was called up at the beginning of the war.	Ele foi convocado no início da guerra.
call up		chamada para serviço militar	A week after the war started, Jim was called up.	
calm down		acalmar-se ou acalmar alguém	You need to calm down, everything is gonna be ok.	Você precisa se acalmar, vai ficar tudo bem.
carry away		deixar-se levar; empolgar-se; ir longe demais	He was carried away by success.	Ele se deixou levar pelo sucesso.
carry away		entusiasmar-se, deixar-se levar	There's far too much food - I'm afraid I got a bit carried away.	Tem comida demais, acho que me empolguei um pouco.
carry off		terminar com sucesso talvez apesar de um problema	Jane had a difficult role to play, but she carried it off.	Jane teve um papel difícil de desempenhar, mas ela o cumpriu.
carry on		seguir em frente	Louise had to carry on after her father died.	Louise precisou seguir em frente depois que seu pai morreu.
carry on		continuar ou proceder como antes		
carry out		terminar um plano	Please make sure you carry out these instructions.	
carry over		transferir algo para um ponto posterior no tempo		
catch on		se tornar popular	Camera phones have really caught on lately.	
catch up		recuperar ou ficar em dia com algo; atualizar-se	What about a lunch do catch up?	Que tal um almoço para colocar as novidades em dia?
catch up		acompanhar	He was off school for a while and is finding it hard to catch up.	Ele ficou fora da escola por um tempo e agora está tendo dificuldade de acompanhar as aulas.
catch up		alcançar	a country trying to catch up with the developed world	um país tentando alcançar o mundo desenvolvido
check in		fazer o registro em um hotel ou voo; acompanhado da preposição on, pode significar checar, ver se está tudo certo	I will check in on you later.	Vou checar se está tudo bem com você mais tarde.
check out		fazer o registro de saída; dar uma olhada em algo	Check out that guy's clothes.	Dá uma olhada nas roupas daquele cara.
check out		confirmar e pagar por bens e serviços		
cheer up		se tornar feliz		
chicken out		dar para trás; ficar com medo; acovardar-se	She chickened out when she knew the trip would take 3 days.	Ela deu para trás quando soube que a viagem duraria 3 dias.
come about		acontecer	Many positive changes have come about as a result of his efforts.	
come across		deparar-se com algo; passar a impressão	I came across some great books in Tom's house.	Eu me deparei com uns livros ótimos na casa do Tom.
come across		encontrar por acidente		
come along		acompanhar, fazer companhia		
come apart		quebrar, separar		
come back		voltar	She came back from Brazil in May.	Ela voltou do Brasil em maio.
come down to		no fim ser uma questão de	In the end, this problem comes down to overpopulation.	
come in for		receber crítica, sendo culpado	The Government's proposals have come in for a great deal of criticism.	As propostas do Governo foram alvo de muitas críticas.
come into		herdar	Sarah came into 20 million when her grandfather died.	
come off		ter sucesso	Everyone is hoping that the new plan will come off.	
come on		progredir, desenvolver		
come out		aparecer, ser publicado	Her new book comes out next month.	
come over		afetar		
come through		sobreviver, suportar		
come up		quando um problema acontece	I'm going to be home late. Something has come up.	
come up		aproximar-se, ir em direção a		
come up against		encontrar uma dificuldade	We've come up against a bit of a problem.	
come up to		ser tão bom quanto esperado	The restaurant didn't come up to our expectations.	
come up to		igual, expectativas iguais, padrão igual	The play didn't come up to expectations.	
come up with		pensar em uma solução; sugerir algo	The governor needs to come up with a plan for this problem.	O governador precisa pensar em um plano para este problema.
come up with		pensar sobre, um plano, resposta, solução	We still haven't come up with a solution to teh problem.	
count on		confiar em	You can count on me for support at the meeting.	
crack up		rir muito		
crop up		acontecer, aparecer inesperadamente	The same names kept cropping up during the investigation.	
cut back		cortar; economizar; reduzir; evitar o consumo de algo prejudicial à saúde	I'm trying to cut back on sugar because I want to lose weight.	Estou tentando evitar açúcar porque quero perder peso.
cut down		reduzir uma atividade ou consumo de algo	Peter needs to cut down on shopping.	Peter precisa reduzir as compras.
cut down		reduzir	We can't cut pollution down to zero.	Não podemos reduzir a poluição a zero.
cut down		derrubar,cortar	They cut down all the trees.	Eles cortaram todas as árvores.
cut down		derrubar, cortar para derrubar		
cut off		cortar, tanto no sentido literal quanto no figurado, como cortar alguém no trânsito ou cortar alguém que está falando; interromper um serviço	He always cuts me off when I'm talking.	Ele sempre me interrompe quando estou falando.
cut off		interromper	to cut off the city's water supply	interromper o abastecimento de água da cidade
cut off		isolar	At high tide the island is cut off from the mainland.	Com a maré alta, a ilha fica isolada do continente.
cut off		parar de fornecer fundos para alguém		
cut out		remover, omitir		
cut through		pegar um atalho		
cut up		cortar em pedaços pequenos, separar em partes		
do away with		abolir	The school decided to do away with uniform, and let pupils wear whatever they liked.	
do up		decorar um local	We are having our living room done up.	
draw up		preparar um plano ou documento	The lawyers are drawing up the contract.	
draw up		parar	Two police cars drew up outside the door.	
dress up		vestir-se bem; fantasiar-se	She told us we need to dress up for the ceremony.	Ela nos disse que precisamos nos arrumar bem para a cerimônia.
drink up		beber toda a bebida		
drop by		aparecer para uma visita rápida, dar uma passada	Please, drop by the post office and send grandma a letter.	Por favor, dê uma passada no correio e mande uma carta para a vovó.
drop in		visitar	Do drop in if you're in the area.	
drop in		fazer uma visita	Drop in any time you're passing.	
drop off		cair no sono	Several people at the back of the hall had dropped off and were snoring.	
drop out		largar uma atividade; cair	My brother dropped out of college because he had to work.	Meu irmão largou a faculdade porque ele precisava trabalhar.
eat up		comer tudo; consumir	Please, eat up your vegetables.	Por favor, coma todos os vegetais.
end up		terminar num certo modo ou lugar	We missed the bus and had to walk, and ended up getting home at 4 am	
face up to		ter coragem de lidar com responsabilidades	You have to face up to your responsibilities.	
fall about		mostrar divertimento, especialmente rindo	Everyone fell about when Jane told her joke.	
fall apart		desmoronar, no sentido literal ou figurado	Tina's marriage is falling apart.	O casamento da Tina está desmoronando.
fall back on		usar depois que tudo mais falhou	His father persuaded him to finish college so he would have something to fall back on.	
fall back on		usar como último recurso	If the worst comes to the worst, we've got our savings to fall back on.	
fall down		cair no chão, colapsar		
fall for		apaixonar-se	Kate has fallen for George's brother.	
fall for		ser enganado	Harry fell for the oldest trick in the world.	
fall for		ser enganado	It was an unlikely story but he fell for it.	
fall in		colapsar		
fall out		brigar com	Paul and Jim have fallen out again.	
fall out with		discutir com	Peter has fallen out with his boss.	
fall through		quando um plano ou arranjo fracassa	We thought we had agreed to buy the house, but the deal fell through.	
fall through		fracassar ao tentar completar	The plan fell through at the last minute.	
feel up to		se sentir capaz de fazer	Old Mr Smith didn't feel up to walking all that way.	
figure out		entender	After her phone call, I figured out what has happened.	Depois do telefonema dela, entendi o que tinha acontecido.
fill in		preencher	Would you please fill in the application form?	Você pode, por favor, preencher o formulário de solicitação?
fill out		preencher o formulário		
fill up		encher; abastecer	I need to go to the gas station to fill up my car.	Eu preciso ir ao posto de gasolina abastecer meu carro.
fill up		preencher o tanque do veículo com combustível		
find out		descobrir	How did Isabel find out that John was cheating on her?	Como Isabel descobriu que John a estava traindo?
find out		descobrir	She found out the truth when she read the message.	Ela descobriu a verdade quando leu a mensagem.
find out		descobrir, explorar, encontrar		
fit in with		ser incluído num plano	I'm afraid your suggestion doesn't fit in with my plans.	
fix up		reparar, reformar		
follow up		acompanhar algo; retomar um assunto; dar continuidade	I called the police about that noise, but they didn't follow up.	Eu liguei para a polícia a respeito do barulho, mas eles não deram continuidade.
follow up		agir de acordo com uma sugestão	Thanks for the information about that book. I'll follow it up.	
follow up		fazer algo a mais em adição algo que já foi feito; tomar mais medidas	We'll follow up this lesson next week.	
get across		fazer os outros entenderem	Chris has some great ideas, but can't always get them across.	
get across		ser entendido, entender uma ideia	I had the feeling I wasn't getting the meaning across.	
get along		se dar bem com alguém	Janet and I get along very well.	Janet e eu nos damos muito bem.
get along		dar-se bem ou mal, com alguém	My cousins and I get along pretty well.	Meus primos e eu nos damos muito bem.
get along with		dar-se com alguém	they seem to get along pretty well	eles parecem se dar muito bem
get around		viajar; persuadir	you're not getting around me that easily	
get around to		encontrar tempo para fazer	I'll try and get around to writing some letters later.	
get at		alcançar; insinuar; pegar no pé	it's difficult to get at the screws	é difícil alcançar os parafusos
get at		sugerir um sentido	What exactly are you getting at? I don't understand.	
get at		implicar algo	I can see what you're getting at	Eu posso ver onde você está chegando
get at		implicar sobre assuntos pessoais	What are you getting at exactly?	O que você quer dizer exatamente?
get away		afastar-se; sair de perto	You need to get away from this guy.	Você precisa sair de perto desse cara.
get away		escapar	The thief got away before the cops arrived.	O ladrão escapou antes de os policiais chegarem.
get away		escapar, fugir; sair de férias	Stevie was caught, but the rest of us got away	
get away with		escapar de algo sem ser punido; virar-se, safar-se	No one insults my family and gets away with it	
get back		voltar; pegar de volta	What time will mom get back?	A que horas a mãe vai voltar?
get back		voltar, retornar	Let's get back to the subject at hand.	
get back		retornar para onde veio		
get back at		se vingar	He is trying to get back at her.	Ele está tentando se vingar dela.
get down		abater, desencorajar, fatigar		
get down to		iniciar um negócio seriamente	It's time you got down to some serious work.	
get down to		começar a lidar seriamente com	It's time we got down to some real work.	
get down to		se concentrar	It's time we got down to some real work.	
get in		entrar em algum lugar	Get in the car right now!	Entre no carro imediatamente!
get in		chegar em casa; no trabalho	the train got in late	
get in		ter sucesso em dizer algo, muitas vezes em uma situação em que outras pessoas falam muito	She tried to get her suggestion in at the start of the meeting.	Ela tentou obter sua sugestão no início da reunião.
get in		pedir a uma pessoa treinada para vir a sua casa para fazer algum trabalho remunerado	We'll have to get a plumber in to look at that water tank.	Teremos de arranjar um encanador para ver o tanque de água.
get in		entrar num local, ganhar acesso		
get into		entrar em um local; começar a curtir algo	I can't get into these shoes	
get off		sair; também usado como o contrário de get on	The driver made the boys get off the bus.	O motorista fez os meninos descerem do ônibus.
get off		descer	Get off the bus at the last stop.	Desça do ônibus na última parada.
get off		terminar um trabalho e ir embora	I don't get off for another three hours.	Não saio por mais três horas.
get off		escapar de ser punido	He got off with four months in prison.	Ele escapou com quatro meses na prisão.
get off		tirar as mãos de	Get off me, Jake, that hurts	Tire as mãos de mim, Jake, isso machuca
get off		sair, descer de ônibus, trem; sair do trabalho; escapar de punição, ser absolvido	she got off lightly	
get off		evitar uma punição	Terry was charged with murder, but her lawyers managed to get her off.	
get off		parar de tocar		
get off with		evitar punição	They were lucky to get off with such light sentences.	Eles foram sortudos em escapar de punição com tais sentenças tão leves.
get on		entrar, mas no sentido de subir, como em um barco, avião, trem ou bicicleta	They need to get on the bus now if they don't want to be late.	Eles precisam subir no ônibus agora se não quiserem se atrasar.
get on		entrar em ônibus, avião, trem; continuar fazendo algo; progredir em algo	how are you getting on?	
get on		progredir	How are you getting on in your new job?	
get on		progredir	Sue is getting on very well in her new job.	
get on		ser bem sucedido		
get on for		aproximar-se de um momento, idade ou número	It's getting on for six, so it's time we were going.	
get on for		aproximar-se de certa idade, tempo, número	He must be getting on for seventy.	
get on with		continuar, prosseguir com algo	Stop talking and get on with it	Pare de falar e vá em frente
get out		sair de um lugar; também usado como contrário de get in	I asked him to get out of my house.	Eu pedi para ele sair da minha casa.
get out		descer, sair de um veículo	I'll get out when you stop at the traffic lights.	Eu vou descer quando você parar no semáforo.
get out		sair	Get out of my house	Saia da minha casa
get out		ser revelado	If this news gets out there'll be trouble.	Se essas notícias forem reveladas, haverá problemas.
get out		sair de um lugar; escapar, fugir, tornar público algo que era secreto	news got out that we were coming	saiu a notícia de que estávamos chegando
get out		sair, deixar ou escapar		
get out of		livrar-se de, escapar de	He tried to get out of cleaning the car.	Ele tentou escapar de limpar o carro.
get out of		tirar informação de alguém	I finally got it out of him that he was in love with her.	Finalmente, consegui tirar dele que ele estava apaixonado por ela.
get out of		tirar vantagem de	I can't see what he gets out of their relationship.	Não consigo ver o que ele tira do relacionamento deles.
get out of		gostar de	The old lady gets a lot of pleasure out of watching the children.	A velha senhora gosta muito de olhar as crianças.
get over		superar	to get over an illness	superar uma doença
get over		superar, ultrapassar algo ou problema; superar experiência desagradável	the company is keen to get the idea over	a empresa está interessada em superar a ideia
get over		ser surpreendido	I couldn't get over how well she looked.	
get over with		Superar algo; encerrar algo	Get over with it and move on with your life.	Acabe com isso e siga sua vida em frente.
get over with		terminar, acabar uma tarefa	come on, let's get it over with	
get over with		terminar algo desagradável	I always try to get my homework over with as quickly as possible.	
get over with		chegar ao fim de algo, normalmente algo desagradável	I'll be glad to get this awful business over with.	
get round		encontrar tempo para fazer	I'll try and get round to writing some letters later.	
get round to		encontrar		
get up		acordar; levantar da cama; organizar	Every day I get up at the same time.	Todo dia eu acordo no mesmo horário.
get up		levantar-se; acordar	They get up at 6 every day.	Eles se levantam às 6 todos os dias.
get up		levantar-se	I got up and took a shower	
get up to		fazer algo que você não deveria fazer	What are the children getting up to in the garden?	
get up to		fazer algo, normalmente ruim quando se trata de criança	The children are getting up to something in the garden.	
get up to		fazer algo ruim, principalmente criança aprontando	What have you been getting up to lately?	O que você estava aprontando a pouco?
give away		divulgar; entregar; doar algo	My neighbors are giving away old clothes.	Meus vizinhos estão doando roupas velhas.
give away		dar, distribuir	The grocery store gave away food.	O supermercado distribuiu comida.
give away		revelar um segredo	Katie doesn't know yet, so don't give it away	Katie ainda não sabe, então não deixe escapar
give away		revelar informação; doar	I gave away all my books	
give away		revelar	I'm not giving away any secrets if I tell you this	
give away		trair		
give away		revelar algo ou fazer algo conhecido, muitas vezes acidentalmente; divulgar algo	His false identity papers gave him away.	
give away		ser traido	I tried to pass for a local resident, but my accent gave me away.	
give away		abandonar algo; dar algo de presente a outro	The store is giving away free samples of cheese.	
give back		devolver	Has she given you those books back yet?	
give back		retornar, restaurar		
give in		ceder; entregar algo	The prime minister said Britain would never give in, in this war.	O primeiro-ministro disse que a Grã-Bretanha não cederia, nesta guerra.
give in		ceder, aceitar	He nagged me so much for a new bike that eventually I gave in	Ele me importunou tanto por uma bicicleta nova que eventualmente eu cedi
give in		colapsar ou falir		
give in to		entregar, aceitar, ceder	The company said it would not give in to blackmail by the workforce.	A empresa disse que não cederia à chantagem da força de trabalho.
give off		exalar, liberar luz, cheiro, calor	The flowers gave off a fragrant perfume	
give off		exalar um cheiro	The cheese had begun to give off a strange smell.	
give off		emitir, produzir e enviar		
give onto		dar para porta, corredor, vistas de uma janela	a plate glass window gave onto the roof	
give out		distribuir; chegar ao fim; parar de funcionar	I've been giving out leaflets	
give out		quando uma máquina para de funcionar	The batteries are likely to give out soon.	As baterias provavelmente vão parar de funcionar em breve.
give out		se tornar exausto	When John's money gave out, he had to take another job.	
give out		estar exausto	When our money gave out we had to borrow some.	
give out		emitir, distribuir		
give over		devotar	The rest of the time was given over to playing cards.	
give over		abandonar	Why don't you give over! You're getting on my nerves.	
give over to		usa o tempo para um propósito particular	The afternoon is given over to sports activities.	A tarde é dedicada às atividades desportivas.
give up		desistir; parar de tentar; deixar de acreditar	I give up on finding an answer.	Eu desisti de achar uma resposta.
give up		desistir	We gave up traveling when we saw our account balance.	Desistimos de viajar quando vimos o saldo da nossa conta.
give up		desistir	he wasn't the kind of man to give up easily	
give up		se render	The escaped prisoner gave herself up.	
give up		acreditar estar morto ou perdido	After ten days the ship was given up for lost.	
give up		parar ou sair de uma atividade		
give up for		desistir de procurar quando dado como perdido ou morto	the dog had been given up for lost before he was found 200 miles away	o cachorro foi dado como perdido antes de ser encontrado a 320 quilômetros de distância
go about		fazer o que é normalmente feito	I'm not sure how to go about removing the old boiler.	
go after		ir atrás, perseguir	he went after the burglars	ele foi atrás dos ladrões
go against		ser contrário a algo; ir contra algo	he refused to go against the unions	ele se recusou a ir contra os sindicatos
go ahead		iniciar		
go along		participar, cooperar, estar conforme		
go around		mover ou espalhar		
go at		atacar; partir para cima; fazer algo com muito entusiasmo	the man went at him with a steel bar	o homem foi até ele com uma barra de aço
go away		partir, ir embora, sair de casa por um tempo	They're going away on vacation	
go away		partir ou deixar um lugar		
go back		retornar	the clocks went back last weekend	
go back on		quebrar uma promessa	People accused the government of going back on earlier promises.	
go back on		quebrar uma promessa	The management has gone back on its promise.	
go down		descer, navio afundar, avião cair	he saw eleven B-17s go down	ele viu onze B-17s caírem
go down		cair, cair no chão		
go for		ir atrás de algo, tentar conseguir/conquistar algo; gostar de determinado tipo de coisa ou pessoa; decidir, escolher	I wished that we had gone for plan B	Eu queria que tivéssemos ido para o plano B
go for		gostar ou admirar	I don't go for action movies or romances.	Eu não gosto de filmes de ação ou romance.
go for		escolher	He can't even count on all the voters who went for him the last time.	Ele nem pode contar com todos os eleitores que foram escolheram ele da última vez.
go for		tentar atingir, tentar conquistar	He'll be going for his third straight Olympic gold medal in the 200-meter dash.	Ele vai tentar sua terceira medalha de ouro olímpica consecutiva nos 200 metros.
go for		ir para um restaurante, bar, etc	Do you want to go for a coffee?	Quer ir tomar um café?
go for		vendido por uma quantidade de dinheiro	The painting is expected to go for at least a million dollars.	Espera-se que a pintura seja vendida por pelo menos um milhão de dólares.
go for		tentar ter ou alcançar algo	She tripped me as I went for the ball.	Ela tropeçou em mim enquanto eu tentava alcançar a bola.
go for		vai de algo, escolhe algo	Instead of butter, I always go for margarine or a low-fat spread.	Em vez de manteiga, eu sempre vou de margarina ou uma propagação de baixo teor de gordura.
go for		atacar alguém	She went for him with a knife.	Ela atacou ele com uma faca
go for		aplica para alguém, vale para	What I said about Peter goes for you, too.	O que eu disse sobre o Peter também vale para ti.
go forward		progredir		
go in		entrar em um local; ficar escondido pelas nuvens, o sol ou a lua	I looked through the window, but I didn't actually go in	
go in for		ter hábito	Peter doesn't go in much for sport.	
go in for		entrar numa competição	Are you going in for the Advanced English Test this year?	
go in for		criar um hábito de	I don't go in for that kind of thing.	
go off		explodir; disparar, sair de um local	the pistol suddenly went off	
go off		disparar um alarme	The whole building had to evacuate because the smoke alarm went off.	
go off		partir, sair de um local	If you want Mom to get something for you, you better talk to her before she goes off to the store.	
go off		parar de funcionar	The power went off hours ago	
go off		acontecer	Considering all the problems we had beforehand, it's amazing that our party went off so well!	
go off		apodrecer, vencer, expirar validade	Don't eat those leftovers—they're a week old and have definitely gone off.	
go off		se tornar muito bravo ou hostil sem razão aparente	The boss just came into my office and went off on me for no apparent reason.	
go off		morrer	At Christmastime, I really miss the relatives who have gone off before us.	
go off		sair com alguém	Tom just now went off with Maggie.	
go off		quando a comida fica ruim	This fish smells awful. It must have gone off.	
go off		comida fica ruim	This milk has gone off.	
go off		explodir		
go on		continuar	She can't go on overprotecting her daughter.	Ela não pode continuar protegendo demais a filha.
go on		continuar; acontecer, ascender luz	the street lights went on	
go on		acontecer	There's something strange going on here	
go on		acontece algo negativo	Something funny is going on.	
go on		continuar		
go out		sair	They used to go out every weekend.	Eles costumavam sair todo fim de semana.
go out		sair para se divertir	a few minutes later the lights went out	
go out		sair de casa para ir para algum lugar		
go over		revisar ou examinar um documento; praticar; ir a algum lugar	Let's go over to the supermarket and buy some wine and cheese.	Vamos ao supermercado e comprar alguns vinhos e queijos.
go over		verificar algo cuidadosamente	I want to go over these plans with you again	
go round		ser o suficiente	Are there enough books to go round the class?	
go round		ser o suficiente	There weren't enough life-jackets to go round.	
go round		circular		
go through		atravessar	Once you go through this corridor, turn right.	Depois de passar por este corredor, vire à direita.
go through		passar por	All of my calls go through my secretary	Todas as minhas chamadas passam pela minha secretária.
go through		examinar minuciosamente	We need to go through these files with a fine-tooth comb to find that missing paperwork.	Precisamos examinar minuciosamente esses arquivos com um pente fino para encontrar a papelada que falta.
go through		seguir em frente com algo apesar das dificuldades	Are you sure you want to go through with this?	Tem certeza que deseja continuar com isto?
go through		ensaiar ou performar no palco	I went through the sonata in ten minutes	Ensaiei a sonata em dez minutos.
go through		executar do início ao fim uma peça, ensaio ou música	The violinist went through the sonata in 30 minutes.	O violinista tocou a sonata em 30 minutos.
go through		usar tudo, consumir tudo	The children went through all the milk we bought in one day.	As crianças consumiram todo o leite que compramos em um dia.
go through		esgotar, esvaziar, exaurir	Wow, the kids went through all those cupcakes already?	Uau, as crianças já consumiram todos esses cupcakes?
go through with		cumprir uma promessa ou plano	he bravely went through with the ceremony.	
go through with		cumprir uma promessa ou plano, normalmente indesejado	When it came to actually stealing the money, Nora couldn't go through with it.	Quando se tratou de realmente roubar o dinheiro, Nora não conseguiu prosseguir.
go through with		completar, finalizar, realizar	They got engaged last year, but I'm not sure they'll go through with the wedding.	Eles ficaram noivos no ano passado, mas não sei se vão ir adiante com o casamento.
go through with		terminar ou ir adiante com algo especialmente algo difícil	I decided not to go through with the surgery after I discovered how dangerous it was.	Decidi não passar pela cirurgia depois de descobrir o quão perigosa era.
go together		harmonizar ou ser compatível		
go towards		ser uma contribuição, contribuir		
go up		subir, explodir, pegar fogo	last night two factories went up in flames	
go with		combinar com roupas, sapatos, ter um relacionamento	he goes with other women	
