phrasal	meaning	significado	phrase	frase	position
ask out	invite on a date	convidar para um encontro	Brian asked Judy out to dinner and a movie.	Brian convidou Judy para jantar e assistir a um filme.	96
ask out	When you ask someone to go with you to a certain place or for a special occasion, to spend time together and have fun. If one or both parties involved are interested in a romantic way, then it is considered a date.	Quando você pede a alguém para acompanhá-lo a um determinado local ou para uma ocasião especial, passe um tempo juntos e divirta-se. Se uma ou ambas as partes envolvidas estão interessadas de uma maneira romântica, isso é considerado uma data.	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	97
ask out	To invite someone for a date.	convidar alguém para um encontro	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	98
ask out	When you ask someone to go with you to a certain place or for a special occasion, to spend time together and have fun. If one or both parties involved are interested in a romantic way, then it is considered a date.	Quando você pede a alguém para acompanhá-lo a um determinado local ou para uma ocasião especial, passe um tempo juntos e divirta-se. Se uma ou ambas as partes envolvidas estão interessadas de uma maneira romântica, isso é considerado uma data.	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	99
ask out	Invite somebody, especially on a date	Convidar alguém, especialmente para um encontro			100
ask over	Invite.	convite, convidar	They have asked us over for drinks on Friday.	Eles nos convidaram para bebidas na sexta-feira.	101
ask over	Invite them to come from their house to your house	Convidar os outros a vir da casa deles para a sua casa	I asked her over so we could talk about what was on her mind.		102
ask round	Invite someone.	convidar alguém	We asked John round for diner.	Nós convidamos John para o jantar.	103
ask round	Invite someone to your house	Convidar alguém para sua casa			104
ask somebody out	invite on a date		Brian asked Judy out to dinner and a movie.	Brian convidou Judy para jantar e assistir a um filme.	105
attend to	Diligently work on; to pay attention to	Trabalhe diligentemente; prestar atenção a			106
auction off	Sell something in an auction.	vender algo em um leilão	They auctioned off their property as they were heavily in debt.	Eles leiloaram sua propriedade quando estavam fortemente endividados.	107
back away	Retreat or go backwards.	retroceder	The crowd backed away when the man pulled a knife.	A multidão retrocedeu quando o homem puxou uma faca.	108
back down	To withdraw your position in a fight, argument, plan, etc.	Retirar sua posição em uma luta, argumento, plano, etc.	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	109
back down	Retract or withdraw your position or proposal in an argument.	retirar ou retirar sua posição ou proposta em uma discussão	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	110
back down	To withdraw your position in a fight, argument, plan, etc.	Retirar sua posição em uma luta, argumento, plano, etc.	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	111
back down	Take a less aggressive position in a conflict than one previously has or has planned to	acalmar, menos agressivo			112
back down	To withdraw from a position or confrontation, especially due to intimidation	Retirar-se de uma posição ou confronto, especialmente devido à intimidação			113
back down	To cause something, especially a vehicle, to move backward through some region or space	recuar, dar a ré, descer, Fazer com que algo, especialmente um veículo, se mova para trás através de uma região ou espaço	I slowly backed the truck down the hill.	Lentamente dei a ré no caminhão em direção a colina.	114
back down	To move backward through some region, especially in a vehicle	recuar, dar a ré, descer, Retroceder uma região, especialmente num veículo	We backed down the driveway.	Nós demos a ré na entrada.	115
back down	retreat, reverse	desistir	I never back down from my goals; I fight until the end to reach them.	Eu nunca desisto dos meus objetivos; luto até o fim para alcançá-los.	116
back down	To retreat from a particular idea or course of action, often in a conflict.	desistir	I refuse to back down. This law must be passed, in the interest of public safety.		117
back down	to go down something backwards, such as a ladder or inclined driveway.	descer	Harry backed down the ladder safely.	Harry desceu a escada com segurança.	118
back into	Enter a parking area in reverse gear.	entrar em uma área de estacionamento em marcha à ré	He prefers to back his car into the garage.	Ele prefere entrar de ré com seu carro na garagem.	119
back into	Rely upon another team's loss in order to advance to the post-season	Confiar na derrota de outro time para avançar para a pós-temporada			120
back into	To bump into or strike someone or something while moving backwards.	bater dando a ré	Oops, I didn't mean to back into you, didn't see you there!	Ops, eu não queria bater de ré em você, não tinha te visto lá!	121
back into	In sports, to secure a position in the postseason due to the loss of another team, as opposed to the victory of one's own.	No esporte, garantir uma posição na pós-temporada pela derrota de outro time, ao invés da vitória do próprio.			122
back off	When you leave an emotional situation, or to allow someone to handle something alone.	Quando você deixa uma situação emocional ou permite que alguém lide com algo sozinho.	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	123
back off	Retreat.	retirar, recuar, retirada	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	124
back off	When you leave an emotional situation, or to allow someone to handle something alone.	Quando você deixa uma situação emocional ou permite que alguém lide com algo sozinho.	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	125
back off	Move backwards away from something	Mover-se para trás se afastando de algo	Back off that other runner so you don't collide with her.		126
back off	Become less aggressive, particularly when one had appeared committed to act	parar de intimidar, parar de ameaçar, parar de fazer pressão			127
back off	Lower the setting of	reduzir as configurações de algo			128
back off	Go away! Stop bothering me!	pare de importunar	Back off! I told you I'm not going to the dance, and that's it!		129
back off	To retreat on a particular idea or course of action.	Recuar sobre uma ideia ou curso de ação específico.			130
back off	To cause someone to retreat on a particular idea or course of action	Fazer com que alguém recue em uma ideia ou curso de ação específico			131
back onto	Reverse a vehicle onto something	dar a ré num veículo e passar em cima de algo			132
back onto	To move or maneuver something backwards onto something else.	dar a ré e passar sobre algo	Ugh, I can't believe I backed my car onto the lawn.	Não acredito que dei a ré no meu carro no relvado.	133
back onto	Overlook something from the rear	negligenciar algo na ré de algo			134
back onto	To move or maneuver backwards, standing or resting on top of something else as a result.	mover ou manobrar de ré, e ficar em pé ou descansando em cima de outra coisa como resultado.	Did I really back onto your lawn? Whoops!	Eu realmente passei por cima do seu gramado? Uau!	135
back out	Fail to keep an arrangement or promise.	deixar de cumprir um acordo ou promessa	He backed out two days before the holiday so we gave the ticket to his sister.	Ele voltou atrás dois dias antes do feriado, então nós demos o ingresso para sua irmã.	136
back out	Reverse a vehicle from a confined space	dar a ré num veículo de dentro de um espaço confinado			137
back out	To decide not to keep a commitment or promise	Decidir não cumprir um compromisso ou promessa			138
back out	To move out (of something or some place) in reverse.	sair de um local de ré	Go slowly as you back out of the driveway.	Vá devagar enquanto você da a ré para fora da garagem.	139
back out	Withdraw from something one has agreed to do	retroceder de um acordo			140
back out	Undo a change	desfazer uma alteração			141
back out	To move backward out of some region	sair, mover-se de dentro para fora, retroceder para fora de alguma região	The bear backed out of the cave.	O urso saiu da caverna.	142
back out	to move out of something backwards	sair de alguma coisa	The rabbit tried to back out of its burrow.	O coelho tentou sair de sua toca.	143
back out of	Fail to keep an agreement, arrangement.	deixar de manter um acordo, arranjo	She backed out of the agreement at the last minute.	Ela voltou atrás do acordo no último minuto.	144
back out of	Exit a parking area in reverse gear.	sair de uma área de estacionamento em marcha à ré	She backed the Rolls out of its parking space.	Ela saiu de ré o Rolls Royce do seu espaço de estacionamento.	145
back something up	support or assistance		My wife backed me up over my decision to quit my job.	Minha esposa me apoiou na minha decisão de deixar meu emprego.	146
back up	support or assistance	apoio ou assistência	My wife backed me up over my decision to quit my job.	Minha esposa me apoiou na minha decisão de deixar meu emprego.	147
back up	Reverse; To move or maneuver someone or something backwards	manobrar, reverter, dar a ré	You'll have to back up your car so that I can get out.	Você terá que manobrar de ré seu carro para que eu possa sair.	148
back up	Reverse; To move or maneuver someone or something backwards	manobrar, reverter, dar a ré	You'll have to back up your car so that I can get out.	Você terá que manobrar de ré seu carro para que eu possa sair.	149
back up	To support or assist someone or something	Apoiar ou ajudar alguém ou alguma coisa	Can you back up your claims with evidence?	Você pode fazer backup de suas reivindicações com evidências?	150
back up	To reverse or move backward	inverter ou mover para trás	Could you back up the car so I can park?	Podes fazer o backup do carro para que eu possa estacionar?	151
back up	To walk or drive a vehicle backwards.	Andar ou dirigir um veículo para trás.	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	152
back up	Make a copy of computer data.	fazer uma cópia dos dados do computador	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	153
back up	Support.	apoio, ajuda, auxílio, suporte	The rest of the staff backed her up when she complained about working conditions.	O resto da equipe a apoiou quando ela reclamou das condições de trabalho.	154
back up	Drive a vehicle backwards.	dirigir um veículo de ré	Tom backed up without looking and ran over his laptop.	Tom dirigiu de ré sem olhar e passou por cima do laptop.	155
back up	To walk or drive a vehicle backwards.	Andar ou dirigir um veículo para trás.	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	156
back up	Move backwards, especially for a vehicle to do so	dar a ré			157
back up	To move or maneuver someone or something backwards.	mover ou manobrar alguém ou algo para trás.	I'm having a hard time backing the van up to the door.	Estou tendo dificuldades em dar a ré na van até à porta.	158
back up	Move a vehicle backward	dar a ré			159
back up	Undo one's actions	desfazer algo			160
back up	Reconsider one's thoughts	reconsidear os pensamentos, as ideias			161
back up	Copy (data) as a security measure	fazer cópia de dados como medida de segurança			162
back up	Provide support or the promise of support	oferecer suporte ou prometer suporte			163
back up	Halt the flow or movement of something	interromper o fluxo ou movimento de algo			164
back up	Make a copy of information	Fazer uma cópia das informações			165
back up	Make a car go backwards	Fazer um carro andar para trás			166
back up something	Reverse; To move or maneuver someone or something backwards		You'll have to back up your car so that I can get out.		167
back up something	Reverse; To move or maneuver someone or something backwards				168
bag out	Criticise.	criticar	Don't bag out Australian English.	Não critique o Inglês Australiano.	169
bail out	Save, rescue.	salvar, resgatar	The government had to bail out the airline because it was losing so much money.	O governo teve que resgatar a companhia aérea porque estava perdendo muito dinheiro.	170
bail out	Remove water from something that is flooded.	remover a água de algo que está inundado	The boat was leaking so they had to bail it out.	O barco estava inundando então eles tiveram que remover a água.	171
bail out	Jump out of a plane because it is going to crash.	saltar de um avião porque vai cair	The pilot bailed out when he saw that the engines had failed.	O piloto se saltou do avião quando viu que os motores falharam.	172
bail out	Rescue, especially financially	Resgate, especialmente financeiramente			173
bail out	Leave (or not attend at all) a place or a situation	Sair (ou não comparecer) de um lugar ou situação			174
bail out	Sell all or part of one's holdings in stocks, real estate, a business, etc.	Vender a totalidade ou parte de suas participações em ações, imóveis, uma empresa, etc.			175
bail out	To rescue somebody from a difficult situation, especially financial problems	resgatar alguém de uma situação difícil, especialmente problemas financeiros			176
bail out of	Pay a bond to release someone from jail.	pagar uma fiança para libertar alguém da prisão	I must bail my drunken brother out of jail.	Devo pagar fiança para meu irmão bêbado sair da cadeia.	177
bail out on	Stop supporting someone when they are in trouble.	parar de apoiar alguém quando estiver com problemas	Everybody bailed out on him when the scandal broke.	Todo mundo deixou de apoiar ele quando o escândalo explodiu.	178
bail up	Talk to someone and delay them.	falar com alguém e atrasá-lo	I was late because he bailed me up on the phone and wouldn't shut up.	Eu estava atrasado porque ele me atrasou com conversas no telefone e não calava a boca.	179
bail up	Rob someone at gunpoint.	roubar alguém sob a mira de uma arma	He was bailed up by a couple of muggers as he came out of the bank.	Ele foi assaltado por um par de assaltantes enquanto saía do banco.	180
bake off	Finish baking partly baked food	Terminar de assar alimentos parcialmente assados			181
ball off	waste time; waste efforts; to do something inefficiently.	gastar tempo, esforços, fazer algo ineficientemente			182
ball out	Cry intensely; to sob or weep	Chorar intensamente; soluçar ou chorar			183
ball up	Confuse or make things complicated.	confundir ou complicar as coisas	The new project has balled me up- I have no idea what to do.	O novo projeto me complicou - não tenho ideia do que fazer.	184
ball up	Roll or form into a round shape.	enrolar em uma forma redonda.	He balled up his napkin when he had finished eating.	Ele enrolou o guardanapo quando tinha terminado de comer.	185
ball up	Crush into a ball shape	Esmague em formato de bola			186
ball up	Coil up into a ball	Enrole-se em uma bola			187
ball up	Hunch over and pull in one's arms and legs	Curve-se e puxe os braços e as pernas			188
balls up	Spoil, ruin.	estragar, arruinar	He ballsed the presentation up.	Ele arruinou a apresentação.	189
balls up	Do something badly. To ruin a job	Faça algo mal. Para arruinar um trabalho			190
bang about	Move in a place making a lot of noise.	mover-se em um lugar fazendo muito barulho	He's banging about in the kitchen.	Ele está movendo-se na cozinha.	191
bang around	Move in a place making a lot of noise.	mover-se em um lugar fazendo muito barulho	I can hear him banging about upstairs.	Posso ouvi-lo movendo-se no andar de cima.	192
bang on	Talk at great length.	falar longamente	He banged on for half an hour but no one was listening.	Ele tagarelou por meia hora, mas ninguém estava ouvindo.	193
bang on about	Keep talking about something.	continuar falando sobre algo	He's always banging on about football.	Ele está sempre tagarelando sobre o futebol.	194
bang out	Play a musical instrument loudly.	tocar um instrumento musical com som muito alto	She banged the tune out on the piano.	Ela tocava bem alto a melodia no piano.	195
bang up	Put someone in prison.	colocar alguém na prisão	The judge banged him up for eight years.	O juiz o sentenciou em oito anos.	196
bang up	Damage badly.	danificar muito	He banged his car up last night.	Ele bateu seu carro na noite passada.	197
bank on	Count or rely on.	contar com ou confiar	I'm banking on your help; I can't do it alone.	Estou confiando em sua ajuda; Eu não posso fazer isso sozinho.	198
bargain down	Persuade someone to drop the price of something they're selling.	persuadir alguém a baixar o preço de algo que está vendendo	I bargained her down to half what she originally wanted.	Eu barganhei com ela até metade do que ela originalmente queria.	199
bargain for	Expect something to happen (usually negative).	esperar que algo aconteça, geralmente negativo	I hadn't bargained for so many people coming.	Eu não previa que tantas pessoas viessem.	200
bargain on	Expect something to happen (usually negative).	esperar que algo aconteça, geralmente negativo	I hadn't bargained on him coming.	Eu não previa que ele viria.	201
barge in	Enter a place and interrupt.	entrar em um lugar e interromper	He keeps barging in and asking stupid questions when I'm trying to work.	Ele continua a interromper e a fazer perguntas estúpidas quando estou tentando trabalhar.	202
barge into	Enter a place and interrupt people rudely.	entrar em um lugar e interromper as pessoas rudemente	They barged into my office without knocking and started talking even though I was on the phone.	Eles entraram no meu escritório sem bater e começam a falar, embora eu estivesse no telefone.	203
bash about	Mistreat physically.	maltratar fisicamente	If you bash your monitor about like that, it won't last long.	Se você maltrata seu monitor dessa maneira, ele não vai durar muito tempo.	204
bash in	Break, damage or injure by hitting.	quebrar, danificar ou ferir ao bater	The burglars bashed the door in to enter the house.	Os assaltantes quebraram a porta para entrar na casa.	205
bash out	Write something quickly without much preparation.	escrever algo rapidamente sem muita preparação	I bashed the essay out the night before I had to hand it in.	Eu rabisquei o ensaio na noite anterior em que tinha que entregá-lo.	206
bash up	Break, damage or hurt by hitting.	quebrar, danificar ou machucar ao bater	They bashed him up in the fight in the pub last week and he had to go to hospital.	Eles o machucaram na luta no pub na semana passada e ele teve que ir ao hospital.	207
bawl out	Scold, shout at someone.	repreender, gritar com alguém	She bawled me out for coming home drunk.	Ela me repreendeu por voltar para casa bêbado.	208
bawl out	Scold.	repreender	She bawled Raj out for getting there late.	Ela repreendeu Raj por chegar tarde.	209
bawl out	Sing or shout unpleasantly loudly.	cantar ou gritar desagradavelmente alto	He bawled out our names at the top of his voice.	Ele gritou nossos nomes no máximo de sua voz.	210
be above	Be too good, classy or mature to do something; to disdain	ser muito bom, estiloso ou maduro para fazer algo, fazer desdém.			211
be above	Outrank	superar a marca, superar uma classificação			212
be above	behave as if you are better or more important than you really are	Comportar-se como se você fosse melhor ou mais importante do que realmente é	She's getting a bit above herself. She's only been working for me for two weeks and already she's telling me what to do!		213
be after	Try to find or get.	tentar encontrar ou obter	The police are after him because of the theft.	A polícia está atrás dele por causa do roubo.	214
be along	Arrive.	chegar, alcançar, atingir	The next bus should be along in the next quarter of an hour or so.	O próximo ônibus deve chegar nos próximos quinze minutos ou mais.	215
be along	Arrive	chegar	John will be along soon.		216
be around	Be alive, existent, or present	está ou estará vindo, estar presente ou existir			217
